"","object_id_target","x","y","point_order","object_id","radians","shiftpoints","treatment","target"
"21","BEN05_0016_t_BEN04_0016_t",-1.00738370018488,-0.437018401836063,21,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"22","BEN05_0016_t_BEN04_0016_t",-0.980471924852317,-0.447054528446089,22,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"23","BEN05_0016_t_BEN04_0016_t",-0.952763782325273,-0.455522674664856,23,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"24","BEN05_0016_t_BEN04_0016_t",-0.926074526372368,-0.466143905244726,24,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"25","BEN05_0016_t_BEN04_0016_t",-0.901453607150183,-0.4811199813216,25,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"26","BEN05_0016_t_BEN04_0016_t",-0.878574332300696,-0.499763058057129,26,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"27","BEN05_0016_t_BEN04_0016_t",-0.856079031474087,-0.519214585138147,27,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"28","BEN05_0016_t_BEN04_0016_t",-0.832410696537056,-0.536196310161432,28,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"29","BEN05_0016_t_BEN04_0016_t",-0.806553342844148,-0.548569095871133,29,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"30","BEN05_0016_t_BEN04_0016_t",-0.778400534765796,-0.556108843978393,30,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"31","BEN05_0016_t_BEN04_0016_t",-0.748589712049605,-0.560157672317935,31,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"32","BEN05_0016_t_BEN04_0016_t",-0.717944362652794,-0.562449419857607,32,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"33","BEN05_0016_t_BEN04_0016_t",-0.687019007660873,-0.564151620692003,33,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"34","BEN05_0016_t_BEN04_0016_t",-0.656037285542953,-0.56573514156428,34,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"35","BEN05_0016_t_BEN04_0016_t",-0.625050405867491,-0.567307803292632,35,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"36","BEN05_0016_t_BEN04_0016_t",-0.594063526192027,-0.568880465020984,36,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"37","BEN05_0016_t_BEN04_0016_t",-0.563076646516558,-0.570453126749336,37,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"38","BEN05_0016_t_BEN04_0016_t",-0.532089766841087,-0.572025788477688,38,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"39","BEN05_0016_t_BEN04_0016_t",-0.501102887165618,-0.57359845020604,39,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"40","BEN05_0016_t_BEN04_0016_t",-0.470116007490153,-0.575171111934392,40,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"41","BEN05_0016_t_BEN04_0016_t",-0.439129127814691,-0.576743773662743,41,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"42","BEN05_0016_t_BEN04_0016_t",-0.408142248139227,-0.578316435391095,42,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"43","BEN05_0016_t_BEN04_0016_t",-0.37715536846376,-0.579889097119447,43,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"44","BEN05_0016_t_BEN04_0016_t",-0.346168488788293,-0.581461758847799,44,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"45","BEN05_0016_t_BEN04_0016_t",-0.315181609112829,-0.583034420576151,45,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"46","BEN05_0016_t_BEN04_0016_t",-0.284194729437368,-0.584607082304502,46,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"47","BEN05_0016_t_BEN04_0016_t",-0.253207849761906,-0.586179744032854,47,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"48","BEN05_0016_t_BEN04_0016_t",-0.222220970086443,-0.587752405761206,48,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
