==ID: 0{'N0': 0.10825207262384626, 'Nmax': -777.2442227468191, 'rmax': 0.00013664053212447937}-133.64662411819816
==ID: 81{'N0': 2.7389762973624774, 'Nmax': 2.7611893254514257, 'rmax': 0.005608911184111984}-132.4294825526469

==ID: 82{'N0': 6.348431907940062, 'Nmax': 188.10295062110924, 'rmax': 0.02605084478074899}35.306488515927924

==ID: 83{'N0': 0.07554521121818167, 'Nmax': -447031.4303635442, 'rmax': 0.0026192309627522414}-133.6133452256854

==ID: 84{'N0': 0.052863269842944614, 'Nmax': -670085.2326455812, 'rmax': 0.013436398067806861}-84.06531039305885

==ID: 85{'N0': 0.02406078741091724, 'Nmax': 0.3154370876171103, 'rmax': 0.21676414937879307}-122.51475484125274

==ID: 86{'N0': 0.002888331095755685, 'Nmax': -5438.953457976206, 'rmax': -0.0017065751170984517}-124.69558909417535

==ID: 87{'N0': 0.09034213682570237, 'Nmax': -10488.348500913236, 'rmax': 0.0007882016125914139}-127.7839923047552

==ID: 88{'N0': 0.020554797691842274, 'Nmax': 0.2585973524282471, 'rmax': 0.0646413992708867}-113.19584466657756

==ID: 89{'N0': 0.07448678191846445, 'Nmax': 91205747.705033, 'rmax': 0.010185133454996737}-76.79966734519398

==ID: 90{'N0': 0.004498792739733005, 'Nmax': -6578.296438773665, 'rmax': -0.0008033128594771682}-343.7767216798071

==ID: 91{'N0': 0.02722273546058427, 'Nmax': 0.31755069844059863, 'rmax': 0.04026646945480604}-179.71717887915003

==ID: 92{'N0': 0.03306284030087874, 'Nmax': 0.31171312190034917, 'rmax': 0.045436495880588526}-88.11775852685417

==ID: 93{'N0': 0.03774630007714104, 'Nmax': 0.30989698280891387, 'rmax': 0.07613474356239174}-106.96859303937731

==ID: 94{'N0': 0.07696563852708986, 'Nmax': -499422.8799097707, 'rmax': 0.002211567425355394}-183.6642325743016

==ID: 95{'N0': 0.25257725608119685, 'Nmax': -22282.02085572564, 'rmax': 0.0007007254645723347}-77.80909289868981

==ID: 96{'N0': 0.13813026242214485, 'Nmax': -236595.43317640317, 'rmax': 0.008557831077163344}-58.11168321425107

==ID: 97{'N0': 0.028728540962711088, 'Nmax': 0.5766719283702278, 'rmax': 0.3448360720426349}-109.73035561849542

==ID: 98{'N0': 0.029335740268435034, 'Nmax': 0.3359871127093077, 'rmax': 0.008127575856550712}-279.6095745034869

==ID: 99{'N0': 0.024896990215764178, 'Nmax': 0.5437344084698681, 'rmax': 0.05269643102079801}-103.4327543209535

==ID: 100{'N0': 0.05048651122194044, 'Nmax': 0.6618677060727969, 'rmax': 0.1298744651983344}-76.04669772161631

==ID: 101{'N0': 0.03407614768975502, 'Nmax': 0.738896135572658, 'rmax': 0.29371478123096484}-130.0893898014552

==ID: 102{'N0': 0.11064234608604925, 'Nmax': -1672075.6939672376, 'rmax': 0.002199225664831611}-166.5620066613677

==ID: 103{'N0': 0.012704260365888386, 'Nmax': 0.5377050681920776, 'rmax': 0.14544889369324596}-87.8243054684313

==ID: 104{'N0': 0.00896075553407122, 'Nmax': 0.7328356971888471, 'rmax': 0.48274981823010643}-100.38304621049468

==ID: 105{'N0': 0.0008734170994325005, 'Nmax': 0.5755087572694226, 'rmax': 1.6995878884022122}-52.26176404416

